,Unnamed: 0,loc_file_name,longitude,latitude,location,name,hydro_file_name,hydrogen,hydrogen_quantity
0,0,83-SGN-430-AQI_ocr_output_location.txt,0.0787089,44.4811506,Marcellus,83-SGN-430-AQI,83-SGN-430-AQI_ocr_output_hydrog.txt,Hydrogen is mentioned in the context of hydrogen sulfide (H2S) and its presence in water.,0
2,2,RR-31397-FR_ocr_output_location.txt,-1.1073562304622029,45.4329646,Grayan et l'Hôpital,RR-31397-FR,RR-31397-FR_ocr_output_hydrog.txt,Hydrogen is mentioned indirectly as hydrogen sulfide (H2S) in the context of chemical analysis of water.,0.05 mg/l
4,4,RP-61771-FR_ocr_output_location.txt,-0.6051264440438711,44.883745950000005,Gironde,RP-61771-FR,RP-61771-FR_ocr_output_hydrog.txt,"The text mentions hydrogénocarbonates, which indirectly refers to hydrogen as part of the compound.",0
9,9,86-SGN-274-POC_ocr_output_location.txt,-0.5612325,46.4741636,"Ardin, Deux-Sèvres",86-SGN-274-POC,86-SGN-274-POC_ocr_output_hydrog.txt,Hydrogen is mentioned in the form of hydrogen sulfide (hydrogène sulfuré).,0
13,13,RR-31374-FR_ocr_output_location.txt,2.3896123,48.9267236,La Courneuve,RR-31374-FR,RR-31374-FR_ocr_output_hydrog.txt,"Hydrogen is mentioned in the context of geothermal drilling, where gaseous emissions can occur, including hydrogen sulfide (H2S). The physiological effects of H2S can be dangerous, especially in particular concentrations. The text also mentions that H2S has a characteristic odor detectable by the olfactory system at very low concentrations, in the order of parts per million (ppm).",0
25,25,83-SGN-431-AQI_ocr_output_location.txt,0.7046455,44.4056615,Villeneuve-sur-Lot,83-SGN-431-AQI,83-SGN-431-AQI_ocr_output_hydrog.txt,Hydrogen is mentioned in the context of hydrogen sulfur (H2S) and ammonium (NH4+).,0.002 mg/l for hydrogen sulfur (H2S)
34,34,RR-32573-FR_ocr_output_location.txt,1.2535362,44.9346874,Proissans,RR-32573-FR,RR-32573-FR_ocr_output_hydrog.txt,Hydrogen is mentioned in the context of hydrogen sulfide (hydrogène sulfuré libre en hps).,0
35,35,89-SGN-221-CHA_ocr_output_location.txt,4.1421213,48.5362425,Arcis-sur-Aube,89-SGN-221-CHA,89-SGN-221-CHA_ocr_output_hydrog.txt,"The text mentions 'hcl' which could be interpreted as hydrochloric acid, a compound that contains hydrogen.",0
36,36,89-SGN-403-CEN_ocr_output_location.txt,2.2283459,47.8642836,chateauneuf-sur-loire,89-SGN-403-CEN,89-SGN-403-CEN_ocr_output_hydrog.txt,Hydrogen is mentioned indirectly in the context of hydrogenocarbonate (HCO3-) and hydroxyle (OH-).,0
40,40,75-SGN-316-BDP_ocr_output_location.txt,2.3483915,48.8534951,Paris,75-SGN-316-BDP,75-SGN-316-BDP_ocr_output_hydrog.txt,"The text mentions hydrogen in several contexts: 1) The hypothesis from the Paris water control service suggests that hydrogen sulfide in sulfurous waters is due to underground sulfate reduction. 2) Cathodic corrosion is stimulated by the consumption of polarizing hydrogen by sulfate-reducing bacteria, leading to uninterrupted functioning of the couples. 3) The bacterium Desulfovibrio desulfuricans can fix organic hydrogen on the oxygen in sulfates and oxidize elemental hydrogen, forming a black or blue-black mass of ferrous compounds. 4) In the Hennecy network, sulfate-reducing bacteria produce hydrogen sulfide by reducing dissolved sulfate in water, indirectly causing chemical attack on iron.",0
45,45,86-SGN-210-LRO_ocr_output_location.txt,5.6983879,43.5699811,La Gardiole,86-SGN-210-LRO,86-SGN-210-LRO_ocr_output_hydrog.txt,Hydrogen is mentioned in the context of hydrogen sulfuré (hydrogen sulfide) and in the context of measurements of hydrogen sulfuré content during the production tests.,0
